Brand,Description,Extra Features,Price
Microsoft Surface,"Laptop 7th Edition Snapdragon X Elite Copilot+ & AI Optimized 15"" Laptop Platinum","Copilot+ PC, Wi-Fi 7, Type-C, Backlit Keyboard","184,000"
Chuwi HeroBook,Pro Intel Celeron N4020 14.1 inch Full HD Laptop with Windows 11,N/A,"29,900"
Chuwi GemiBook,XPro Intel Celeron N100 14.1 inch Full HD Laptop,N/A,"34,000"
Walton Prelude,"N41 Pro Celeron N4120 14"" FHD Laptop","Bangla Keyboard, Type-C","33,000"
Walton Prelude,"N50 Pro Pentium Silver N5030 14"" FHD Laptop","Bangla Keyboard, Type-C","35,400"
Lenovo IdeaPad,"1 14IGL7 Intel Celeron N4020 14"" HD Laptop","Type-C, Privacy Shutter, Stereo speakers, Wi-Fi 6","38,850"
Lenovo IdeaPad,"1 14IGL7 Intel Celeron N4500 14"" HD Laptop","Privacy Shutter, Stereo speakers, Type-C, Wi-Fi 6","38,800"
Acer Aspire,"3 A325-45 Celeron N4500 12GB RAM 15.6"" HD Laptop","Two built-in stereo speakers, Type-C port","40,800"
HP 15-fc0355au,AMD Athlon Silver 7120U 15.6'' FHD Laptop,"Dual speakers, Type-C, Camera Privacy Shutter","50,000"
Acer Aspire,"3 A324-31 Intel N100 14"" FHD Laptop","Two built-in stereo speakers, Type-C port","45,900"
HP 15-fd0841TU,"Core i3 13th Gen 15.6"" FHD Laptop","Privacy Shutter, Type-C, Wi-Fi 6","64,990"
Asus Vivobook,"Go 15 E1504TA Intel N150 15.6"" FHD Laptop","Privacy Shutter, Backlit Keyboard, Military Grade","60,800"
ASUS Vivobook,"Go 15 E1504GA Core i3 N305 512GB SSD 15.6"" FHD Laptop","Type-C, Privacy Shutter, Wi-Fi 6E","56,000"
Asus Vivobook,"Go 15 E1504TA Intel N150 15.6"" FHD Laptop Cool Silver","Privacy Shutter, Backlit Keyboard, Military Grade","60,800"
ASUS Vivobook,"Go 14 E1404GA Core i3-N305 14"" FHD Laptop","Type-C, Wi-Fi 6E, US MIL-STD","56,000"
Smart Flairedge,"Core i5 12th Gen 15.6"" FHD Laptop","Backlit Keyboard, Wi-Fi 6","53,000"
ASUS Vivobook,"Go 14 E1404GA Core i3-N305 14"" FHD Laptop with Windows 11","Type-C, Wi-Fi 6E, US MIL-STD, Windows 11 Home","57,000"
ASUS Vivobook,"Go 15 E1504GA Core i3-N305 15.6"" FHD Laptop with Windows 11","Type-C, Wi-Fi 6E, US MIL-STD, Windows 11 Home","57,000"
MSI Modern,"15 F13MG Core i3 13th Gen 15.6"" FHD Laptop Platinum Gray","Backlit Keyboard, Type-C","58,000"
MSI Modern,"15 F13MG Core i3 13th Gen 15.6"" FHD Laptop Urban Silver","Backlit Keyboard, Type-C","58,000"
MSI Modern,"14 F13MG Core i3 13th Gen 14"" FHD Laptop Urban Silver","Backlit Keyboard With Copilot Key, Type-C","58,000"
Acer Aspire,"15 AS15-42 Ryzen 3 7330U 15.6"" FHD Laptop","Stereo Speaker, Wi-Fi 6, HD WebCam, Bluetooth 5.1","54,500"
Acer Aspire,"15 AS15-42 Ryzen 3 7330U 15.6"" FHD Laptop","Stereo Speaker, Wi-Fi 6, HD WebCam",Out Of Stock
Lenovo IdeaPad,"Slim 3 15IRU8 Core i3 13th Gen 1315U 15.6"" FHD Laptop","Type-C, Privacy Shutter, Dolby Audio, Wi-Fi 6","58,500"
Smart Flairedge,"Core i5 13th Gen 15.6"" FHD Laptop","Backlit Keyboard, Wi-Fi 6, Type-C","57,500"
Dell 15,"DC15250 Core 3 100U 15.6"" FHD Laptop","Full-Size Keyboard, Type-C, Wi-Fi 6","59,000"
Tecno MEGABOOK,K15SDA Ryzen 5 7430U 15.6″ IPS FHD Laptop,"Finger Print, RJ45 Gigabit LAN, Built-in Dual Speaker","57,500"
Acer Aspire,"15 AS15-42 Ryzen 5 7430U 15.6"" FHD Laptop","Backlit Keyboard, Stereo Speaker, Wi-Fi 6, HD WebCam","66,500"
